Detector & Descriptor;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
SHITOMASI & BRISK;13.368893;13.030504;12.320243;12.752067;12.274682;13.744860;12.900000;12.621823;11.455896;12.737609;11.426544;11.728461;12.653150;11.811557;9.386742;11.104135;11.726440;9.874089
SHITOMASI & BRIEF;13.774567;13.308032;11.376875;13.085104;12.334163;13.078128;14.634667;11.755566;11.492621;12.270018;11.761101;11.399749;12.227710;11.001433;11.120271;12.184849;10.571016;9.478887
SHITOMASI & ORB;13.567289;12.321901;12.919305;11.803152;12.067221;13.400744;13.784685;11.596452;11.198932;14.366072;11.243144;11.935219;12.528686;11.538407;10.232601;11.757526;11.622457;9.227267
SHITOMASI & FREAK;13.901922;11.700851;10.905696;13.925098;11.848012;13.906452;12.612648;11.939326;12.232300;12.568214;12.172158;11.764014;13.097686;12.653150;10.278036;10.135469;10.979025;7.154725
HARRIS & BRISK;nan;10.585996;-80.852533;12.485779;13.271773;13.621705;12.279234;11.494883;nan;-inf;11.741430;5.189943;13.409498;12.439358;-inf;6.330280;nan;nan
HARRIS & BRIEF;8.813354;11.008145;-11.473146;12.628983;12.879517;12.994489;12.200000;12.916210;3.300582;-inf;11.741430;nan;13.355051;7.721444;-25.278089;6.339291;12.661173;25.676266
HARRIS & ORB;nan;10.585996;-11.473146;12.628983;36.354663;14.704465;14.657889;13.570416;nan;-inf;11.741430;-inf;13.456033;5.858277;nan;6.687023;nan;-inf
HARRIS & FREAK;nan;11.008145;nan;12.628983;13.271773;nan;11.997530;12.916210;nan;10.293108;11.437683;10.101525;nan;12.439358;-inf;5.571378;nan;nan
FAST & BRISK;12.595108;12.806081;15.957723;12.874340;19.024143;12.376496;12.133695;11.741703;12.713836;12.116866;12.312956;11.712586;12.510941;11.627093;11.780525;12.199590;7.162243;12.640553
FAST & BRIEF;9.038328;12.496710;13.152563;12.999130;30.296671;12.182306;10.909307;11.821906;13.196171;12.965972;14.270176;11.561522;12.272973;11.113363;11.703404;11.842290;10.515494;10.939628
FAST & ORB;11.072101;11.942372;13.766691;12.498360;14.661796;12.564543;11.513061;11.343173;13.006009;12.622247;13.502520;12.763530;12.515464;12.252951;11.413974;12.137559;9.748925;12.125363
FAST & FREAK;12.201870;12.958971;18.659821;13.960319;17.049024;12.008644;12.144578;12.073422;12.342685;11.919055;13.268003;12.203265;12.807004;10.961077;10.173981;12.462969;7.881532;11.073838
BRISK & BRISK;12.865892;16.595705;12.780302;14.840485;28.636491;17.832318;15.559291;15.919929;13.967842;10.655235;12.139418;11.109731;11.571685;12.421219;12.471675;10.932869;10.350283;12.351702
BRISK & BRIEF;10.188863;16.132748;11.566230;17.839759;20.475655;20.604198;14.088164;19.115110;14.699265;10.176159;11.625099;12.685493;11.507082;10.780921;10.643671;11.720573;10.793659;9.963944
BRISK & ORB;11.852868;17.178007;13.650208;15.532796;26.330717;18.952797;12.982926;16.894355;16.229407;11.339027;12.313319;11.330308;11.640733;13.383044;11.347457;11.415631;8.953753;12.318886
BRISK & FREAK;11.368223;19.600468;12.204788;14.840485;20.133462;24.441740;12.053377;14.995976;17.761707;11.842741;12.263736;10.994514;11.961940;12.214478;14.430224;9.973310;9.352634;11.511348
ORB & BRISK;10.675950;13.506805;11.279324;16.489163;41.382721;10.053625;27.971744;10.665193;12.009355;11.041877;7.408786;-inf;13.732845;11.417125;24.635231;17.196230;20.335089;55.241845
ORB & BRIEF;12.286471;14.042017;19.901709;15.638958;22.397183;16.192176;19.334925;128.473433;39.376000;11.088170;10.079765;20.167478;12.824510;8.596376;18.557147;10.951057;8.729498;19.778292
ORB & ORB;16.782643;-inf;20.869026;22.169514;22.273529;-inf;-inf;10.895136;-inf;9.582369;7.861522;-inf;11.993061;34.425092;-inf;10.047069;21.869151;26.182337
ORB & FREAK;12.207445;11.104794;11.328775;12.576109;743.243793;65.746845;-inf;12.680933;30.342508;24.441934;8.668185;8.313420;8.362929;9.310102;8.129184;7.765476;11.321919;24.185503
AKAZE & BRISK;11.845504;13.111301;13.091781;13.302662;13.197427;12.702375;15.647728;13.602259;14.167294;12.434979;12.093934;10.374281;10.412323;9.704568;9.481552;10.068234;8.696532;8.670772
AKAZE & BRIEF;12.101016;13.519025;12.006130;13.383948;14.040568;12.461843;15.466369;14.660722;12.543066;11.979446;12.939090;11.195293;10.934429;10.807726;9.535192;9.530254;8.803489;8.496581
AKAZE & ORB;11.161494;13.200077;12.408855;14.711970;13.819379;13.257185;15.765511;13.384870;13.309492;11.559726;12.750592;11.022754;11.425814;9.540302;9.797382;9.773513;9.269921;9.077270
AKAZE & FREAK;11.585033;12.707681;12.840629;13.910441;14.004325;14.001902;15.322100;13.100319;11.575661;11.818780;11.444868;10.546171;10.190339;9.836872;9.239274;9.976506;8.470696;8.642131
